id,target
00026ce3c5,0
0015c81349,1
00176141e9,0
0017ee018a,1
001a19d8d7,0
0020b7510d,1
0021095cf1,1
00224cee90,0
0023e45ee3,1
0024a051d7,0
00261cd6e5,0
002c474e05,1
002db92308,1
002f07dd76,1
003112824c,0
00343f8804,0
0037cc59e5,0
0038d163a2,1
004122364d,1
00418cae9b,0
0042bf5979,1
00432ac4e3,0
00433658db,1
0043aa1fc5,0
0044382258,0
0045ce7c88,1
00486efa1c,0
00578ed373,1
005a2e20e1,0
005bda3442,0
005eb76142,1
005efec0ce,0
005f7f67bd,1
0060e0e22e,1
0061c9a516,1
00631736cd,0
0071619ebb,1
00717728d9,0
0078660a43,1
0079f18eaf,1
008483e095,0
008a06ba13,1
008d9d572b,1
008e64a016,0
0090de95b8,0
009620c1ab,1
009807a0fc,1
009badf80d,0
00a48e8ccb,0
00a66f8ecd,0
00a6a5a267,0
00aa85f656,0
00ab583b90,0
00b0c4550f,1
00b26a01c1,0
00b657386b,1
00b78e4ed7,0
00bbe2a3ab,1
00bc165e2e,0
00bc77b5d1,0
00c0eca344,1
00cb779a7d,1
00ccac61b4,0
00ceee94e5,0
00cf958d7c,1
00d0664386,0
00d5f328a9,1
00d65e5f2c,1
00d7ac5098,0
00d86e6076,1
00d8e03cca,0
00e3624f54,1
00eef78973,0
00f0b8a4db,1
00f2c4882d,0
00f5c07e10,0
00f732a0ee,1
00f7539ebd,1
00fd27840b,1
00ff4de3e0,1
0103503166,1
0103761e96,0
010b1714e2,0
010c6bb038,0
01111cd9d6,0
011181049b,1
01174695d9,1
0118ae569a,0
011a4cd228,0
012182649f,0
0121c199a3,0
012330b9de,1
01261fab06,0
0127111ac2,0
012781dbc4,1
012a365f3b,0
012c247ea8,1
013324bf1d,1
0135afc9b0,0
013fa3a95c,1
0140d5c2cc,1
0142abe810,0
0143b05ed9,1
014898c56f,0
0150bcfc82,0
01548fd6ad,0
015d98011d,1
017321dee2,0
017560259b,0
017753bf2b,0
017ec2b1a8,1
017f7f5c85,0
018514a62f,1
0185522785,0
018a2ad374,0
018d471a92,0
01917651a2,1
0191b8c560,0
0191e125a7,1
01a175df87,0
01a2472dc8,0
01a64c8102,1
01a749172e,1
01ae89fe7d,1
01af8e8ec5,0
01afbe365c,0
01b79bfc57,1
01c1e4241b,1
01c2a4c1ca,0
01c3688038,0
01c7249d47,0
01cd734c7f,1
01cfe439b0,0
01d6134a7f,1
01db49128d,0
01dbb25ad9,1
01df44fd1a,0
01e06d9d1c,1
01e119ed88,1
01e265e253,0
01e2d0caf8,1
01e384b264,0
01ef834c7e,0
01f159d563,1
01f2221dc1,0
01f483bd6f,1
01f6824bce,0
01fbfd061d,1
01fcbcf4a4,0
01fcc089c3,0
01fe6dcfee,0
0200bf2c54,1
0203ecaea7,0
020e59c544,1
020f4526c9,1
02127ced17,0
0212ba6048,0
02148c614d,0
0214f1fc06,1
021cc1b3c6,0
021ee7cf73,1
021f605c08,1
0223e6b879,0
02280d1755,1
02295f2e6d,1
022afef650,1
022b4bf21f,1
022b559789,0
022d452b6f,0
02336a9c67,1
0237090b3b,0
0238e2d08e,0
0239753c47,0
023a48ca6c,0
023c12b5ef,0
023d4670d0,0
0245a5c4e9,1
024629c1d9,1
0248628c7a,1
024dbee6be,0
024e320b53,0
024f5313fe,0
02511dfa50,1
025126e010,0
025614a331,0
0258301cd9,1
025a7531cb,0
025ee94850,0
025ef3e7a6,0
025f4c0149,0
025fdd2bcb,0
026d079c7b,0
0270b83b27,0
02751db605,0
02782ed02b,1
0278fb13e0,1
027bfe8ff0,1
027c1eafb9,1
02804f1923,0
0280951116,0
02857fe4d2,1
028642f379,1
028a797bb8,0
028fefbd8a,0
0291db6b70,0
02968e9b07,1
02980ff62e,0
02989ab411,1
029b195e93,0
029da9b890,1
029efe693c,0
02a0e278e2,1
02a7bd93fc,0
02ac9c99cf,1
02b14731d6,0
02b445993e,0
02b477704d,1
02b7ce61c0,1
02b7fd16a0,1
02bdf91b42,0
02be624da6,0
02bf5769cd,0
02c855d861,0
02ca2716e6,1
02d0390bd0,0
02d1f3d56f,0
02d865d8fa,0
02db1a1dee,0
02dbcd5a78,0
02dc662ba7,1
02dd6033af,0
02dfb85500,0
02e2302fcf,1
02e82ae8e6,0
02e8dac683,0
02ea938602,1
02f3078aa7,1
02f6db8a45,1
02f9b448f0,1
02fa132384,0
02ff17c5f6,0
02ff4ca918,0
02ffc0193c,1
030335932f,0
030ce4a012,1
0310d4ba2e,0
03110d969c,0
0316c6d284,1
031873386a,0
0319003709,1
03194e6c89,1
031bae461f,1
031ef78675,1
03260ca0db,1
03267f8560,1
0329712f61,0
03326c24a9,1
03353334b6,1
0336180469,1
034161359c,1
03451197c0,0
0348e17cb9,1
0349c9e97c,1
034a499e23,1
034a63d241,0
034daf33b0,1
0352e906c8,1
035b2030bc,0
035bfb20bc,1
035ce35234,1
03685e539f,1
036b71825e,1
036d088edf,0
036fe8e58d,1
036ff0e9cf,0
036ffb64cd,1
037046426c,1
037e653864,0
0381b88316,0
038aa4a360,0
038b5e4274,1
038cb5f2ba,1
